Zeit;Kanal A
(ms);(mV)

-23,15374910;-3,17052150
-23,14874910;-3,17052150
-23,14374910;-3,17052150
-23,13874910;-2,79712105
-23,13374910;-2,42433548
-23,12874910;-2,23794293
-23,12374910;-2,23794293
-23,11874910;-1,86454225
-23,11374910;-0,55917817
-23,10874910;-3,54330683
-23,10374910;-2,23794293
-23,09874910;-2,98351359
-23,09374910;-3,54330683
-23,08874910;-3,91609240
-23,08374910;-4,28949261
-23,07874910;-5,03506374
-23,07374910;-5,22207165
-23,06874910;-5,78124952
-23,06374910;-5,96764231
-23,05874910;-5,96764231
-23,05374910;-5,96764231
-23,04874910;-6,34104300
-23,04374910;-5,96764231
-23,03874910;-5,22207165
-23,03374910;-4,84867096
-23,02874910;-4,66227818
-23,02374910;-4,47588587
-23,01874910;-3,72969961
-23,01374910;-2,98351359
-23,00874910;-2,61072826
-23,00374910;-2,23794293
-22,99874910;-2,42433548
-22,99374910;-2,42433548
-22,98874910;-2,61072826
-22,98374910;-2,61072826
-22,97874910;-2,98351359
-22,97374910;-2,61072826
-22,96874910;-2,42433548
-22,96374910;-2,79712105
-22,95874910;-3,35691428
-22,95374910;-2,98351359
-22,94874910;-2,61072826
-22,94374910;-1,67814958
-22,93874910;-2,23794293
-22,93374910;-1,49175680
-22,92874910;-1,67814958
-22,92374910;-1,30536413
-22,91874910;-1,11897147
-22,91374910;-0,37278542
-22,90874910;0,00000000
-22,90374910;0,55917817
-22,89874910;0,93196356
-22,89374911;1,86454225
-22,88874911;1,11897147
-22,88374911;1,86454225
-22,87874911;0,55917817
-22,87374911;2,05093503
-22,86874911;1,86454225
-22,86374911;2,05093503
-22,85874911;2,98351359
-22,85374911;2,61072826
-22,84874911;2,42433548
-22,84374911;3,35691428
-22,83874911;3,54330683
-22,83374911;3,91609240
-22,82874911;3,91609240
-22,82374911;4,10248518
-22,81874911;4,47588587
-22,81374911;4,84867096
-22,80874911;4,84867096
-22,80374911;4,66227818
-22,79874911;4,66227818
-22,79374911;4,47588587
-22,78874911;4,47588587
-22,78374911;4,47588587
-22,77874911;4,66227818
-22,77374911;4,28949261
-22,76874911;3,72969961
-22,76374911;3,91609240
-22,75874911;3,54330683
-22,75374911;3,72969961
-22,74874911;3,35691428
-22,74374911;3,54330683
-22,73874911;3,72969961
-22,73374911;3,54330683
-22,72874911;3,54330683
-22,72374911;3,72969961
-22,71874911;4,10248518
-22,71374911;3,91609240
-22,70874911;4,10248518
-22,70374911;4,10248518
-22,69874911;3,72969961
-22,69374911;4,28949261
-22,68874911;2,79712105
-22,68374911;3,35691428
-22,67874911;2,79712105
-22,67374911;2,61072826
-22,66874911;2,05093503
-22,66374911;1,86454225
-22,65874911;1,49175680
-22,65374911;0,93196356
-22,64874911;0,74557084
-22,64374911;0,18639271
-22,63874911;0,37278542
-22,63374911;0,37278542
-22,62874911;-0,18639271
-22,62374911;-0,37278542
-22,61874911;0,00000000
-22,61374911;-0,93196356
-22,60874911;-1,49175680
-22,60374911;-0,93196356
-22,59874911;-1,49175680
-22,59374911;-1,30536413
-22,58874911;-2,05093503
-22,58374911;-2,23794293
-22,57874911;-2,61072826
-22,57374911;-3,17052150
-22,56874911;-3,72969961
-22,56374911;-3,91609240
-22,55874911;-4,10248518
-22,55374911;-4,47588587
-22,54874911;-5,22207165
-22,54374911;-5,03506374
-22,53874911;-5,40846395
-22,53374911;-5,40846395
-22,52874911;-5,40846395
-22,52374911;-5,40846395
-22,51874911;-5,78124952
-22,51374911;-5,78124952
-22,50874911;-6,71382856
-22,50374911;-5,96764231
-22,49874912;-6,71382856
-22,49374912;-5,96764231
-22,48874912;-6,90022135
-22,48374912;-6,71382856
-22,47874912;-6,34104300
-22,47374912;-6,71382856
-22,46874912;-7,08661366
-22,46374912;-6,90022135
-22,45874912;-6,71382856
-22,45374912;-6,52743578
-22,44874912;-5,78124952
-22,44374912;-5,78124952
-22,43874912;-5,22207165
-22,43374912;-5,40846395
-22,42874912;-4,84867096
-22,42374912;-3,91609240
-22,41874912;-4,10248518
-22,41374912;-3,91609240
-22,40874912;-3,17052150
-22,40374912;-3,54330683
-22,39874912;-3,17052150
-22,39374912;-3,54330683
-22,38874912;-3,91609240
-22,38374912;-3,54330683
-22,37874912;-3,72969961
-22,37374912;-4,47588587
-22,36874912;-4,47588587
-22,36374912;-4,66227818
-22,35874912;-5,78124952
-22,35374912;-5,03506374
-22,34874912;-4,84867096
-22,34374912;-5,40846395
-22,33874912;-4,84867096
-22,33374912;-4,47588587
-22,32874912;-4,10248518
-22,32374912;-3,54330683
-22,31874912;-3,17052150
-22,31374912;-2,98351359
-22,30874912;-2,98351359
-22,30374912;-2,23794293
-22,29874912;-2,05093503
-22,29374912;-0,74557084
-22,28874912;-1,11897147
-22,28374912;-1,30536413
-22,27874912;-1,49175680
-22,27374912;-1,11897147
-22,26874912;-1,11897147
-22,26374912;-0,37278542
-22,25874912;-0,37278542
-22,25374912;-0,37278542
-22,24874912;-0,93196356
-22,24374912;0,00000000
-22,23874912;-0,37278542
-22,23374912;0,00000000
-22,22874912;0,18639271
-22,22374912;0,93196356
-22,21874912;0,55917817
-22,21374912;0,74557084
-22,20874912;1,86454225
-22,20374912;1,49175680
-22,19874912;1,86454225
-22,19374912;2,05093503
-22,18874912;2,05093503
-22,18374912;2,42433548
-22,17874912;2,79712105
-22,17374912;2,79712105
-22,16874912;2,79712105
-22,16374912;3,17052150
-22,15874912;3,35691428
-22,15374912;3,17052150
-22,14874912;3,54330683
-22,14374912;3,35691428
-22,13874912;3,35691428
-22,13374912;3,72969961
-22,12874912;4,28949261
-22,12374912;4,28949261
-22,11874912;3,91609240
-22,11374912;3,91609240
-22,10874912;3,91609240
-22,10374913;3,72969961
-22,09874913;3,35691428
-22,09374913;4,28949261
-22,08874913;4,28949261
-22,08374913;3,72969961
-22,07874913;4,10248518
-22,07374913;3,72969961
-22,06874913;3,91609240
-22,06374913;3,35691428
-22,05874913;3,91609240
-22,05374913;3,72969961
-22,04874913;4,28949261
-22,04374913;3,72969961
-22,03874913;4,28949261
-22,03374913;4,28949261
-22,02874913;3,72969961
-22,02374913;4,28949261
-22,01874913;4,84867096
-22,01374913;4,10248518
-22,00874913;4,66227818
-22,00374913;5,40846395
-21,99874913;4,28949261
-21,99374913;4,28949261
-21,98874913;4,84867096
-21,98374913;4,66227818
-21,97874913;4,28949261
-21,97374913;3,54330683
-21,96874913;3,54330683
-21,96374913;3,35691428
-21,95874913;2,98351359
-21,95374913;3,35691428
-21,94874913;2,61072826
-21,94374913;2,98351359
-21,93874913;2,61072826
-21,93374913;2,42433548
-21,92874913;2,42433548
-21,92374913;2,79712105
-21,91874913;2,42433548
-21,91374913;2,42433548
-21,90874913;2,23794293
-21,90374913;2,42433548
-21,89874913;2,23794293
-21,89374913;2,79712105
-21,88874913;1,86454225
-21,88374913;1,86454225
-21,87874913;-0,74557084
-21,87374913;1,86454225
-21,86874913;1,86454225
-21,86374913;1,86454225
-21,85874913;0,93196356
-21,85374913;1,11897147
-21,84874913;0,93196356
-21,84374913;1,11897147
-21,83874913;0,55917817
-21,83374913;0,18639271
-21,82874913;0,55917817
-21,82374913;0,55917817
-21,81874913;0,18639271
-21,81374913;0,93196356
-21,80874913;0,55917817
-21,80374913;1,11897147
-21,79874913;0,93196356
-21,79374913;1,49175680
-21,78874913;0,37278542
-21,78374913;0,93196356
-21,77874913;0,18639271
-21,77374913;0,93196356
-21,76874913;0,93196356
-21,76374913;1,11897147
-21,75874913;1,11897147
-21,75374913;1,49175680
-21,74874913;1,30536413
-21,74374913;1,49175680
-21,73874913;0,74557084
-21,73374913;1,49175680
-21,72874913;1,86454225
-21,72374913;1,30536413
-21,71874913;2,05093503
-21,71374913;1,86454225
-21,70874914;2,42433548
-21,70374914;2,05093503
-21,69874914;2,23794293
-21,69374914;2,23794293
-21,68874914;3,17052150
-21,68374914;1,86454225
-21,67874914;2,42433548
-21,67374914;2,05093503
-21,66874914;1,30536413
-21,66374914;1,30536413
-21,65874914;1,86454225
-21,65374914;1,86454225
-21,64874914;1,67814958
-21,64374914;1,11897147
-21,63874914;1,30536413
-21,63374914;1,11897147
-21,62874914;1,67814958
-21,62374914;1,11897147
-21,61874914;0,55917817
-21,61374914;1,11897147
-21,60874914;1,49175680
-21,60374914;1,49175680
-21,59874914;0,93196356
-21,59374914;0,93196356
-21,58874914;1,11897147
-21,58374914;1,11897147
-21,57874914;1,11897147
-21,57374914;0,93196356
-21,56874914;1,30536413
-21,56374914;1,11897147
-21,55874914;0,93196356
-21,55374914;0,37278542
-21,54874914;0,00000000
-21,54374914;0,00000000
-21,53874914;-0,18639271
-21,53374914;-0,37278542
-21,52874914;-0,74557084
-21,52374914;-0,74557084
-21,51874914;-1,11897147
-21,51374914;-0,74557084
-21,50874914;-1,67814958
-21,50374914;-1,49175680
-21,49874914;-1,67814958
-21,49374914;-1,49175680
-21,48874914;-2,42433548
-21,48374914;-2,23794293
-21,47874914;-2,79712105
