Zeit;Kanal A;Kanal B
(ms);(V);(V)

1,12170511;1,03395665;0,82117373
1,12190511;1,03395665;0,82117373
1,12210511;1,03395665;0,82117373
1,12230511;1,03395665;0,82117373
1,12250511;1,03395665;0,82117373
1,12270511;1,03395665;0,82117373
1,12290511;1,03395665;0,82117373
1,12310511;1,03395665;0,82117373
1,12330511;1,03395665;0,82117373
1,12350511;1,03395665;0,82117373
1,12370511;1,03395665;0,82117373
1,12390511;1,03395665;0,82117373
1,12410511;1,03395665;0,82117373
1,12430511;1,03395665;0,82117373
1,12450511;1,03395665;0,82117373
1,12470511;1,05142713;0,82117373
1,12490511;1,03395665;0,82117373
1,12510511;1,03395665;0,82117373
1,12530511;1,03395665;0,82117373
1,12550511;1,03395665;0,82117373
1,12570511;1,03395665;0,82117373
1,12590511;1,03395665;0,82117373
1,12610511;1,03395665;0,82117373
1,12630511;1,03395665;0,82117373
1,12650511;1,03395665;0,82117373
1,12670511;1,03395665;0,82117373
1,12690511;1,03395665;0,82117373
1,12710511;1,03395665;0,82117373
1,12730511;1,03395665;0,82117373
1,12750511;1,03395665;0,82117373
1,12770511;1,03395665;0,82117373
1,12790511;1,03395665;0,82117373
1,12810511;1,03395665;0,82117373
1,12830511;1,03395665;0,82117373
1,12850511;1,03395665;0,82117373
1,12870511;1,03395665;0,82117373
1,12890511;1,03395665;0,82117373
1,12910511;1,03395665;0,82117373
1,12930511;1,03395665;0,82117373
1,12950511;1,03395665;0,82117373
1,12970511;1,03395665;0,82117373
1,12990511;1,03395665;0,82117373
1,13010511;1,03395665;0,82117373
1,13030511;1,03395665;0,82117373
1,13050511;1,03395665;0,82117373
1,13070511;1,03395665;0,82117373
1,13090511;1,03395665;0,82117373
1,13110511;1,03395665;0,82117373
1,13130511;1,03395665;0,82117373
1,13150511;1,03395665;0,82117373
1,13170511;1,03395665;0,82117373
1,13190511;1,03395665;0,82117373
1,13210511;1,03395665;0,82117373
1,13230511;1,03395665;0,82117373
1,13250511;1,03395665;0,82117373
1,13270511;1,03395665;0,82117373
1,13290511;1,03395665;0,82117373
1,13310511;1,03395665;0,82117373
1,13330511;1,03395665;0,82117373
1,13350511;1,03395665;0,82117373
1,13370511;1,03395665;0,82117373
1,13390511;1,03395665;0,82117373
1,13410511;1,03395665;0,82117373
1,13430511;1,03395665;0,82117373
1,13450511;1,03395665;0,82117373
1,13470511;1,03395665;0,82117373
1,13490511;1,03395665;0,82117373
1,13510511;1,03395665;0,82117373
1,13530511;1,03395665;0,82117373
1,13550511;1,03395665;0,82117373
1,13570511;1,03395665;0,82117373
1,13590511;1,03395665;0,80370325
1,13610511;1,03395665;0,82117373
1,13630511;1,03395665;0,82117373
1,13650511;1,03395665;0,82117373
1,13670511;1,03395665;0,82117373
1,13690511;1,03395665;0,82117373
1,13710511;1,03395665;0,83864421
1,13730511;1,03395665;0,82117373
1,13750511;1,03395665;0,82117373
1,13770511;1,03395665;0,82117373
1,13790511;1,03395665;0,82117373
1,13810511;1,03395665;0,82117373
1,13830511;1,03395665;0,82117373
1,13850511;1,03395665;0,82117373
1,13870511;1,03395665;0,82117373
1,13890511;1,03395665;0,83864421
1,13910511;1,03395665;0,83864421
1,13930511;1,03395665;0,83864421
1,13950511;1,03395665;0,83864421
1,13970511;1,03395665;0,83864421
1,13990511;1,03395665;0,83864421
1,14010511;1,03395665;0,83864421
1,14030511;1,03395665;0,83864421
1,14050511;1,03395665;0,83864421
1,14070511;1,03395665;0,83864421
1,14090511;1,03395665;0,83864421
1,14110511;1,03395665;0,82117373
1,14130511;1,03395665;0,83864421
1,14150511;1,03395665;0,85611469
1,14170511;1,03395665;0,83864421
1,14190511;1,03395665;0,83864421
1,14210511;1,03395665;0,83864421
1,14230511;1,03395665;0,83864421
1,14250511;1,03395665;0,83864421
1,14270511;1,03395665;0,83864421
1,14290511;1,03395665;0,83864421
1,14310511;1,03395665;0,83864421
1,14330511;1,03395665;0,83864421
1,14350511;1,03395665;0,83864421
1,14370511;1,03395665;0,83864421
1,14390511;1,03395665;0,83864421
1,14410511;1,03395665;0,83864421
1,14430511;1,03395665;0,83864421
1,14450511;1,03395665;0,83864421
1,14470511;1,03395665;0,83864421
1,14490511;1,03395665;0,83864421
1,14510511;1,03395665;0,85611469
1,14530511;1,03395665;0,85611469
1,14550511;1,03395665;0,85611469
1,14570511;1,03395665;0,85611469
1,14590511;1,03395665;0,85611469
1,14610511;1,03395665;0,85611469
1,14630511;1,03395665;0,85611469
1,14650511;1,03395665;0,85611469
1,14670511;1,03395665;0,85611469
1,14690511;1,03395665;0,85611469
1,14710511;1,03395665;0,85611469
1,14730511;1,03395665;0,85611469
1,14750511;1,03395665;0,85611469
1,14770511;1,03395665;0,85611469
1,14790511;1,03395665;0,85611469
1,14810511;1,03395665;0,85611469
1,14830511;1,03395665;0,85611469
1,14850511;1,03395665;0,85611469
1,14870511;1,03395665;0,85611469
1,14890511;1,03395665;0,85611469
1,14910511;1,03395665;0,85611469
1,14930511;1,03395665;0,87358510
1,14950511;1,03395665;0,85611469
1,14970511;1,03395665;0,87358510
1,14990511;1,03395665;0,87358510
1,15010511;1,03395665;0,87358510
1,15030511;1,03395665;0,87358510
1,15050511;1,03395665;0,87358510
1,15070511;1,03395665;0,87358510
1,15090511;1,03395665;0,87358510
1,15110511;1,03395665;0,87358510
1,15130511;1,03395665;0,87358510
1,15150511;1,03395665;0,87358510
1,15170511;1,03395665;0,87358510
1,15190511;1,03395665;0,87358510
1,15210511;1,03395665;0,87358510
1,15230511;1,03395665;0,87358510
1,15250511;1,03395665;0,87358510
1,15270511;1,03395665;0,89105558
1,15290511;1,03395665;0,87358510
1,15310511;1,03395665;0,89105558
1,15330511;1,03395665;0,89105558
1,15350511;1,03395665;0,89105558
1,15370511;1,03395665;0,89105558
1,15390511;1,03395665;0,89105558
1,15410511;1,03395665;0,89105558
1,15430511;1,03395665;0,89105558
1,15450511;1,03395665;0,89105558
1,15470511;1,03395665;0,89105558
1,15490511;1,03395665;0,89105558
1,15510511;1,03395665;0,89105558
1,15530511;1,03395665;0,89105558
1,15550511;1,03395665;0,90858757
1,15570511;1,03395665;0,89105558
1,15590511;1,03395665;0,89105558
1,15610511;1,03395665;0,89105558
1,15630511;1,03395665;0,89105558
1,15650511;1,03395665;0,90858757
1,15670511;1,03395665;0,90858757
1,15690511;1,03395665;0,89105558
1,15710511;1,03395665;0,90858757
1,15730511;1,03395665;0,90858757
1,15750511;1,03395665;0,90858757
1,15770511;1,03395665;0,90858757
1,15790511;1,03395665;0,90858757
1,15810511;1,03395665;0,90858757
1,15830511;1,03395665;0,90858757
1,15850511;1,03395665;0,90858757
1,15870511;1,03395665;0,90858757
1,15890511;1,03395665;0,90858757
1,15910511;1,03395665;0,90858757
1,15930511;1,03395665;0,90858757
1,15950511;1,03395665;0,90858757
1,15970511;1,03395665;0,92605805
1,15990511;1,03395665;0,92605805
1,16010511;1,03395665;0,92605805
1,16030511;1,03395665;0,92605805
1,16050511;1,03395665;0,92605805
1,16070511;1,03395665;0,92605805
1,16090511;1,03395665;0,92605805
1,16110511;1,03395665;0,92605805
1,16130511;1,03395665;0,92605805
1,16150511;1,03395665;0,92605805
1,16170511;1,03395665;0,92605805
1,16190511;1,03395665;0,92605805
1,16210511;1,03395665;0,92605805
1,16230511;1,03395665;0,92605805
1,16250511;1,03395665;0,94352853
1,16270511;1,03395665;0,92605805
1,16290511;1,03395665;0,94352853
1,16310511;1,03395665;0,94352853
1,16330511;1,03395665;0,94352853
1,16350511;1,03395665;0,94352853
1,16370511;1,03395665;0,94352853
1,16390511;1,03395665;0,94352853
1,16410511;1,03395665;0,94352853
1,16430511;1,03395665;0,94352853
1,16450511;1,03395665;0,94352853
1,16470511;1,03395665;0,94352853
1,16490511;1,03395665;0,96099901
1,16510511;1,03395665;0,94352853
1,16530511;1,03395665;0,96099901
1,16550511;1,03395665;0,94352853
1,16570511;1,03395665;0,96099901
1,16590511;1,03395665;0,96099901
1,16610511;1,03395665;0,96099901
1,16630511;1,03395665;0,96099901
1,16650511;1,03395665;0,96099901
1,16670511;1,03395665;0,96099901
1,16690511;1,03395665;0,96099901
1,16710511;1,03395665;0,96099901
1,16730511;1,03395665;0,96099901
1,16750511;1,03395665;0,96099901
1,16770511;1,03395665;0,96099901
1,16790511;1,03395665;0,97846949
1,16810511;1,03395665;0,97846949
1,16830511;1,03395665;0,97846949
1,16850511;1,03395665;0,97846949
1,16870511;1,03395665;0,96099901
1,16890511;1,03395665;0,97846949
1,16910511;1,03395665;0,97846949
1,16930511;1,03395665;0,97846949
