time; signal
5.520000000000004070e-05;1.244032968200000200e+00
5.540000000000058766e-05;1.249974159000000196e+00
5.559999999999939990e-05;1.255915349800000191e+00
5.579999999999994686e-05;1.261856540600000187e+00
5.599999999999875910e-05;1.267797731399999961e+00
5.620000000000104079e-05;1.273738922199999735e+00
5.639999999999985303e-05;1.280029522599999803e+00
5.660000000000039999e-05;1.285970715799999997e+00
5.679999999999921223e-05;1.291911908999999969e+00
5.699999999999975919e-05;1.297853102199999942e+00
5.720000000000030616e-05;1.303794292999999938e+00
5.739999999999911839e-05;1.309735483800000155e+00
5.759999999999966536e-05;1.315676674600000151e+00
5.780000000000021232e-05;1.321617865400000147e+00
5.800000000000075928e-05;1.327559056199999921e+00
5.819999999999957152e-05;1.333150837399999844e+00
5.839999999999838376e-05;1.339092028199999840e+00
5.860000000000066545e-05;1.345033218999999836e+00
5.879999999999947768e-05;1.350625000199999981e+00
5.900000000000002465e-05;1.356216781399999904e+00
5.920000000000057161e-05;1.361808562400000033e+00
5.939999999999938385e-05;1.367400343399999940e+00
5.959999999999993081e-05;1.372992124400000069e+00
5.979999999999874305e-05;1.378933315000000048e+00
6.000000000000102474e-05;1.384525095999999955e+00
6.019999999999983697e-05;1.390116876999999862e+00
6.040000000000038394e-05;1.395708657999999769e+00
6.059999999999919618e-05;1.401300438999999898e+00
6.079999999999974314e-05;1.407241629600000099e+00
6.100000000000029010e-05;1.412833410600000006e+00
6.119999999999910234e-05;1.418425191799999929e+00
6.139999999999964930e-05;1.424016973000000075e+00
6.160000000000019627e-05;1.429259344600000148e+00
6.180000000000074323e-05;1.434851125800000293e+00
6.199999999999955547e-05;1.440442907000000439e+00
6.219999999999836771e-05;1.446034688200000140e+00
6.240000000000064939e-05;1.451626469400000063e+00
6.259999999999946163e-05;1.457218250599999987e+00
6.280000000000000859e-05;1.462460622200000060e+00
6.300000000000055556e-05;1.467702993799999911e+00
6.319999999999936779e-05;1.472944135199999893e+00
6.339999999999991476e-05;1.478535916400000039e+00
6.359999999999872700e-05;1.483777057800000021e+00
6.380000000000100868e-05;1.489018199200000003e+00
6.399999999999982092e-05;1.494259340600000208e+00
6.420000000000036788e-05;1.499500482000000190e+00
6.439999999999918012e-05;1.504741623400000172e+00
6.459999999999972708e-05;1.509982764800000377e+00
6.480000000000027405e-05;1.514874496600000287e+00
6.499999999999908629e-05;1.520115638000000047e+00
6.519999999999963325e-05;1.525007369799999957e+00
6.540000000000018021e-05;1.529899101600000089e+00
6.560000000000072717e-05;1.535140243000000071e+00
6.579999999999953941e-05;1.540381384400000053e+00
6.599999999999835165e-05;1.545273116200000185e+00
6.620000000000063334e-05;1.550164848000000095e+00
6.639999999999944558e-05;1.555056579800000005e+00
6.659999999999999254e-05;1.559948311600000137e+00
6.679999999999880478e-05;1.564840043400000269e+00
6.700000000000108646e-05;1.569731775200000179e+00
6.719999999999989870e-05;1.574623509200000049e+00
6.739999999999871094e-05;1.579515243199999919e+00
6.760000000000099263e-05;1.584406977199999789e+00
6.779999999999980487e-05;1.588949301599999808e+00
6.800000000000035183e-05;1.593841035599999900e+00
6.819999999999916407e-05;1.598732769599999992e+00
6.839999999999971103e-05;1.603275094000000012e+00
6.860000000000025799e-05;1.607817418400000253e+00
6.879999999999907023e-05;1.612359742800000273e+00
6.899999999999961720e-05;1.616902067200000293e+00
6.920000000000016416e-05;1.621444391800000329e+00
6.940000000000071112e-05;1.625986716400000143e+00
6.959999999999952336e-05;1.630529041000000179e+00
6.979999999999833560e-05;1.634721956000000143e+00
7.000000000000061728e-05;1.639264280599999957e+00
7.019999999999942952e-05;1.643806605199999993e+00
7.039999999999997649e-05;1.648348929800000029e+00
7.059999999999878872e-05;1.652541844799999993e+00
7.080000000000107041e-05;1.656385350199999884e+00
7.099999999999988265e-05;1.660927672399999944e+00
7.119999999999869489e-05;1.665120585000000153e+00
7.140000000000097657e-05;1.669313497600000140e+00
7.159999999999978881e-05;1.673506410200000127e+00
7.180000000000033578e-05;1.677349913200000042e+00
7.199999999999914801e-05;1.681542825800000029e+00
7.219999999999969498e-05;1.685735738400000017e+00
7.240000000000024194e-05;1.689579241400000154e+00
7.259999999999905418e-05;1.693422744400000068e+00
7.279999999999960114e-05;1.697266247399999983e+00
7.300000000000014810e-05;1.701109750400000120e+00
7.320000000000069507e-05;1.704954483600000126e+00
7.339999999999950731e-05;1.708799216800000131e+00
7.359999999999831954e-05;1.712643950000000137e+00
7.380000000000060123e-05;1.716488683200000143e+00
7.399999999999941347e-05;1.719984006800000076e+00
7.419999999999996043e-05;1.723828740000000082e+00
7.439999999999877267e-05;1.727673473200000087e+00
7.460000000000105436e-05;1.731518206400000093e+00
7.479999999999986660e-05;1.735362939600000098e+00
7.499999999999867883e-05;1.738858263200000032e+00
7.520000000000096052e-05;1.742353586800000187e+00
7.539999999999977276e-05;1.745848910400000342e+00
